ticker,company_name,url,ceo_name,ceo_role,appointment_date,resignation_date,open_at_appointment,close_at_resignation,topix_open_at_appointment,topix_close_at_resignation,excess_return_annual,tenure_years,photo_paths,photo_count,source
5612,日本鋳鉄管,https://www.nichu.co.jp/,柿木厚司,prev_3,2015年4月,2019年4月,,,,,,,photos_2/5612_日本鋳鉄管/history/03_柿木厚司/photo_01.jpg,1,history
5612,日本鋳鉄管,https://www.nichu.co.jp/,林田英治,prev_4,2010年4月,2015年4月,,,,,,,photos_2/5612_日本鋳鉄管/history/04_林田英治/photo_01.jpg,1,history
5612,日本鋳鉄管,https://www.nichu.co.jp/,馬田一,prev_5,2005年4月,2010年4月,,,,,,,photos_2/5612_日本鋳鉄管/history/05_馬田一/photo_01.jpg,1,history
5612,日本鋳鉄管,https://www.nichu.co.jp/,數土文夫,prev_6,2003年4月,2005年4月,,,,,,,photos_2/5612_日本鋳鉄管/history/06_數土文夫/photo_01.jpg,1,history
5632,三菱製鋼,https://www.mitsubishisteel.co.jp/,衛門 神戸製,prev_1,,,,,,,,,photos_2/5632_三菱製鋼/history/01_衛門_神戸製/photo_01.jpg,1,history
5621,ヒューマンテクノロジーズ,https://www.h-t.co.jp/,進士仁一,prev_1,,,,,,,,,,0,history
5621,ヒューマンテクノロジーズ,https://www.h-t.co.jp/,手塚卓志,prev_2,,,,,,,,,photos_2/5621_ヒューマンテクノロジーズ/history/02_手塚卓志/photo_01.jpg,1,history
5618,ナイル,https://nyle.co.jp/,高橋　飛翔株,current,2026年2月,,317.0,,,,,,photos_2/5618_ナイル/current/photo_01.jpg,1,current
5618,ナイル,https://nyle.co.jp/,高橋飛翔,prev_1,2022年頃,,,,,,,,photos_2/5618_ナイル/history/01_高橋飛翔/photo_01.jpg,1,history
5660,神鋼鋼線工業,https://www.shinko-wire.co.jp/,衛門 神戸製,prev_1,,,,,,,,,photos_2/5660_神鋼鋼線工業/history/01_衛門_神戸製/photo_01.jpg,1,history
5702,大紀アルミニウム工業所,https://www.dik-net.com/,大紀,current,2021年4月,,877.19,,,,,,"photos_2/5702_大紀アルミニウム工業所/current/photo_01.jpg,photos_2/5702_大紀アルミニウム工業所/current/photo_02.jpg",2,current
5698,エンビプロ・ホールディングス,https://www.envipro.jp/,佐野 富和取,current,,,,,,,,,"photos_2/5698_エンビプロ・ホールディングス/current/photo_01.jpg,photos_2/5698_エンビプロ・ホールディングス/current/photo_02.jpg,photos_2/5698_エンビプロ・ホールディングス/current/photo_03.jpg,photos_2/5698_エンビプロ・ホールディングス/current/photo_04.jpg,photos_2/5698_エンビプロ・ホールディングス/current/photo_05.jpg",5,current
5698,エンビプロ・ホールディングス,https://www.envipro.jp/,佐野 文勝,prev_1,2021年6月30日,,,,,,,,photos_2/5698_エンビプロ・ホールディングス/history/01_佐野_文勝/photo_01.jpg,1,history
5707,東邦亜鉛,https://www.toho-zinc.co.jp/,印刷,current,2026年1月,,790.0,,,,,,photos_2/5707_東邦亜鉛/current/photo_01.jpg,1,current
5713,住友金属鉱山,https://www.smm.co.jp/,住友金属,current,2025年9月,,3726.44,,,,,,photos_2/5713_住友金属鉱山/current/photo_01.jpg,1,current
